,SUBMISSION_NAME,MSE
1,MD_BetFair_Brownlow,0.951619048
2,shevy_tothelevy_SF,0.959768707
3,funk_all,0.964432245
4,yosemite_sam,0.964954286
5,corey_AFLp,0.982013605
6,woo_HS,1.01244898
7,JMod,1.017918367
8,gluteus_maximus,1.019218912
9,C,1.027210884
10,SG1,1.038975137
11,CF Brownlow Datathon ,1.057312925
12,dude_wheres_my_karla,1.084547347
13,Brownlow-What-Of-It,1.085168299
14,craigs a-list,1.08537415
15,Skipper,1.11292517
16,Fazer,1.132503401
17,Marcello Finity avg3 external,1.142630494
18,rompingwins_brownlow,1.164305714
19,RowanMarshall3Votes,1.196017955
20,johnny's gto strats,1.210678147
21,fagan4eva,1.211852573
22,Zeus,1.237999142
23,Confused Roberta,1.242294347
24,CurryBoyModel,1.257211156
25,brownlowGIANT,1.275328299
26,Brownlo Magic,1.276275238
27,KingDangerPredicts,1.291955918
28,PoliteSlon,1.300680272
29,CA_Brownlow,1.30454433
30,Pharmacy Raider,1.305428586
31,ClintonKing,1.309783392
32,toby_greened,1.33527912
33,Euclid_AFL_Model_Express,1.356462585
34,Neil-Shyer,1.383836735
35,Model79,1.387755102
36,ordinal_logistic,1.39534214
37,PaulMcGrath_Brownlow2019,1.399319728
38,Pondmaster4000 - Copy,1.40140956
39,ChuggyChoices,1.412244898
40,PayneAndGain,1.488435374
41,Brownlow Datathon Entry - Michael Doyle,1.538285714
42,Edward Tasker's Model,1.554686995
43,Lucas Betfair-Brownlow-Datathon-Submission,1.567346939
44,DangerZone,1.595918367
45,Athomas,1.615731293
46,Posner,1.654802721
47,statlow84,1.656996527
48,Foxy,1.667772109
49,Magnificent,1.672132321
50,Roadrat,1.687115517
51,BF,1.703995835
52,The Brownlow Oracle,1.733645183
53,Paul-Brownlow-Datathon-Submission,1.755102041
54,Brownlow Submission AHenry,1.76462585
55,Wasted Youth,1.807961958
56,Linear,1.836734694
57,IG Brownlow Predictor,1.854323129
58,AnthonyMelino_Brownlow2019,1.895238095
59,HuRdle Predictions,1.895679574
60,LosTigres,1.905599314
61,Brownlow Prophecy,1.993197279
62,BucketsBest,1.997841294
63,DangerVsField,2.005996599
64,boosted ballers,2.088860544
65,Dustin Martinez,2.140136054
66,Sportpunter,2.147189092
67,BillSkeltonBrownlow2019Predictions,2.491156463
68,FuansForest2,2.538710131
69,Cabbage,2.58513238
70,The Statz Machine,2.614679835
71,Bontlow,2.729668203
72,MiddyMedal23,2.786653061
73,Bilsko affle red line,2.80170068
74,The Weekend Preview,2.8243999
75,Brownlow19-SJ,2.876190476
76,Double Up Danger,2.884095238
77,chaRlie_Betfair_Preds_2019,2.912256735
78,gb13faithless,2.922661712
79,prophit,2.948704529
80,submission_ric_porteous,2.981008193
81,maRtin_model,3.045081004
82,Its Lachies Year,3.123006531
83,Panj,3.157823129
84,Betfair-Brownlow-Datathon-Submission-GLM,3.253061224
85,API,3.364129949
86,DNN_preds,3.403061224
87,Poms Brownlow Data Model,3.465952344
88,Brownlow_Datathon_BZ,3.508843537
89,brownhigh,3.825076356
90,Smiths_Fault,4.010884354
91,Last Minute Model,4.617656882
92,CarlosModel,5.06122449
93,MultivAriate_Regression-Trained_brownlow_INdicator,5.146938776
94,Basic Regression LS with negatives removed,6.622194133
95,plant_power,6.926530612
96,fst_model,10.70641826
97,Betfair-Brownlow-Datathon-Submission-Squires,10.78321272
98,BocceGouger,14.11493692
99,LP Tiser,19.06258503
